objectid,name
1375,"FLORIDA COLLEGE OF INTEGRATIVE MEDICINE"
1376,"ACUPUNCTURE AND MASSAGE COLLEGE"
1377,"STRAND COLLEGE OF HAIR DESIGN"
1378,"HAIR ACADEMY II"
1379,"WEST COAST ULTRASOUND INSTITUTE"
138,"ABCOTT INSTITUTE"
1380,"WESLEY BIBLICAL SEMINARY"
1381,"SOUTHWEST ACUPUNCTURE COLLEGE-BOULDER"
1382,"STEVENS-HENAGER COLLEGE"
1383,"EASTERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE"
1384,"TULSA WELDING SCHOOL-JACKSONVILLE"
1385,"ST LOUIS COLLEGE OF HEALTH CAREERS-FENTON"
1386,"PIERCE COLLEGE-PUYALLUP"
1387,"TEXAS TECH UNIVERSITY SYSTEM ADMINISTRATION"
1388,"CBD COLLEGE"
1389,"QUEST COLLEGE"
139,"THE SALON PROFESSIONAL ACADEMY"
1390,"COMMUNITY CARE COLLEGE"
1391,"HDS TRUCK DRIVING INSTITUTE"
1392,"ROSEDALE BIBLE COLLEGE"
1393,"WARREN WILSON COLLEGE"
1394,"M-DCPS THE ENGLISH CENTER"
1395,"FLORIDA EDUCATION INSTITUTE"
1396,"METROPOLITAN LEARNING INSTITUTE"
1397,"AMERICAN ADVANCED TECHNICIANS INSTITUTE"
1398,"EASTERN SCHOOL OF ACUPUNCTURE AND TRADITIONAL MEDICINE"
1399,"TRIDENT TECHNICAL COLLEGE"
14,"UNIVERSITY OF THE CUMBERLANDS"
140,"CARRINGTON COLLEGE-MESQUITE"
1400,"REMINGTON COLLEGE-COLUMBIA CAMPUS"
1401,"WAYNE COMMUNITY COLLEGE"
1402,"WILSON COMMUNITY COLLEGE"
1403,"ASPEN UNIVERSITY"
1404,"NATIONAL BEAUTY COLLEGE"
1405,"LINCOLN TECHNICAL INSTITUTE-SHELTON"
1406,"STRAYER UNIVERSITY-VIRGINIA"
1407,"AMERICAN ACADEMY OF ACUPUNCTURE AND ORIENTAL MEDICINE"
1408,"ATA CAREER EDUCATION"
1409,"HASTINGS BEAUTY SCHOOL"
141,"ELMEZZI GRADUATE SCHOOL OF MOLECULAR MEDICINE"
1410,"FORBES ROAD CAREER AND TECHNOLOGY CENTER"
1411,"BAKKE GRADUATE UNIVERSITY"
1412,"PAUL MITCHELL THE SCHOOL-ARLINGTON"
1413,"ROCKY MOUNTAIN UNIVERSITY OF HEALTH PROFESSIONS"
1414,"ROCKY VISTA UNIVERSITY"
1415,"GEMINI SCHOOL OF VISUAL ARTS & COMMUNICATION"
1416,"PAUL MITCHELL THE SCHOOL-WOODBRIDGE"
1417,"ASPEN BEAUTY ACADEMY OF LAUREL"
1418,"VERVE COLLEGE"
1419,"UNITED TRIBES TECHNICAL COLLEGE"
142,"SEWARD COUNTY COMMUNITY COLLEGE"
1420,"TRINITY BIBLE COLLEGE AND GRADUATE SCHOOL"
1421,"SOUTHERN TEXAS CAREERS ACADEMY"
1422,"THE SALON PROFESSIONAL ACADEMY-NASHVILLE"
1423,"PRESTIGE HEALTH & BEAUTY SCIENCES ACADEMY"
1424,"CALIFORNIA CAREER INSTITUTE"
1425,"CARSTEN INSTITUTE OF COSMETOLOGY"
1426,"NORTH DAKOTA STATE COLLEGE OF SCIENCE"
1427,"MAYVILLE STATE UNIVERSITY"
1428,"MINOT STATE UNIVERSITY"
